ticker,title,summary,link,published
PFE,Bristol-Myers Squibb to buy Celgene in $74-billion bet on cancer treatments,"Bristol-Myers Squibb announced its acquisition of Celgene in a $74-billion cash-and-stock deal, uniting two major drugmakers in the cancer treatment market. This merger aims to combine their resources to overcome challenges faced by their cornerstone products and marks the largest pharmaceutical-company acquisition ever if approved. The deal reflects a strategic move for Bristol-Myers to diversify its portfolio given recent setbacks and will give it control over successful drugs like Revlimid and promising experimental therapies.",https://www.latimes.com/business/la-fi-bristol-myers-celgene-merger-20190103-story.html,1546525500
PFE,Bristol-Myers to buy Celgene for $74 billion in largest biopharma deal,"Bristol-Myers Squibb Co announced it would acquire Celgene Corp for $74 billion, uniting two major cancer drug businesses in the largest pharmaceutical deal ever. This merger aims to address challenges each company faces, including Bristol-Myers' Opdivo losing market share and Celgene's Revlimid approaching patent expiration, while aiming for significant cost savings and earnings growth. The deal is expected to create $2.5 billion in cost savings and increase earnings by over 40% in its first year.",https://www.reuters.com/article/world/bristol-myers-to-buy-celgene-for-74-billion-in-largest-biopharma-deal-idUSKCN1OX0VM/,1546604940
PFE,"Moyamoya Disease Market Evolving Opportunities with Top Industry Players Profiles - Abbott Laboratories, Boston Scientific Corporation, Cephalon, Inc., Cordis Corporation, Eisai Co., Ltd, GE Healthcare","The Moyamoya Disease Market is projected to grow at a CAGR of 7.0% during 2017-2023, driven by increasing public awareness, technological advancements, and rising prevalence of neurological disorders. The Americas currently dominate the market, with Europe holding the second position and Asia Pacific showing the fastest growth. Key players in the market include Abbott Laboratories, Boston Scientific Corporation, and GE Healthcare.",https://www.openpr.com/news/1478112/moyamoya-disease-market-evolving-opportunities-with-top-industry-players-profiles-abbott-laboratories-boston-scientific-corporation-cephalon-inc-cordis-corporation-eisai-co-ltd-ge-healthcare.html,1546936200
PFE,Will new allergy treatments quiet the fears of sworn peanut avoiders like me?,"The author, who has a severe peanut allergy, discusses potential new treatments like Aimmune Therapeutics' AR101 and DBV Technologies' Viaskin patch. While these treatments offer hope for desensitization, experts caution about their limitations, high costs, and the fact that they don't fully eliminate the risk of severe reactions. The article highlights the personal and financial challenges of managing peanut allergies and the debate over the true breakthrough potential of these new therapies compared to existing lower-cost methods.",https://abcnews.go.com/Health/allergy-treatments-quiet-fears-sworn-peanut-avoiders/story?id=60233324,1546952100
PFE,"JP Morgan's Dimon hosted a private dinner for pharma executives, and a major topic was Amazon","Jamie Dimon hosted a private dinner for pharmaceutical executives, including those from Eli Lilly, Pfizer, and Johnson & Johnson, ahead of J.P. Morgan's health-care conference. A major topic of discussion was Amazon's ambitions in the health-care market and the J.P. Morgan-Amazon-Berkshire Hathaway health partnership. Dimon expressed the group's desire to lower health-care costs, a sentiment echoed by attending executives like Eli Lilly CEO Dave Ricks, who encouraged corporate America to take a more active role in employee health benefits.",https://www.cnbc.com/2019/01/09/jp-morgan-ceo-jamie-dimon-talks-amazon-at-jpm-2019-private-dinner.html,1547040540
PFE,Pfizer to shut two manufacturing plants in India,"Pfizer Inc. announced it is closing two manufacturing plants in India that produce generic injectables like penicillin due to a significant long-term loss of product demand. These closures impact approximately 1,700 workers, nearly 6% of Pfizer's global manufacturing workforce. The company also confirmed the closure of a Hospira research and development lab in India, unrelated to the plant shutdowns.",https://www.reuters.com/article/world/pfizer-to-shut-two-manufacturing-plants-in-india-idUSKCN1P31P6/,1547077680
PFE,Realizing the Promise of Gene Therapy through Collaboration and Partnering: Pfizer's View,"This article discusses Pfizer's perspective on advancing gene therapy for single-gene disorders through collaboration and partnering across industry, academia, regulatory bodies, and patient communities. It highlights the complexities of gene therapy development, Pfizer's current pipeline, and the need for innovation in understanding disease biology, optimizing vector design, and establishing robust manufacturing processes. The authors emphasize that a collaborative ecosystem is essential to translate promising gene therapy concepts into commercially viable products that address significant unmet patient needs.",https://www.scientificamerican.com/custom-media/nature-outlook-gene-therapy/realizing-the-promise-of-gene-therapy-through-collaboration-and-partnering-pfizers-view/,1547428884
PFE,Enteral Feeding Formulas Market Comprehensive Analysis By 2025,"The global enteral feeding formulas market is projected to reach USD 10.32 billion by 2025, growing at a CAGR of 7.8% from USD 4.87 billion in 2018. Major players like Nestlé, Danone, and Abbott are diversifying strategies to expand their market footprint. The market growth is driven by increasing healthcare expenditure, rising geriatric population, and the demand for homecare, alongside various segmentations such as product type, end-user, application, and geography.",https://www.openpr.com/news/1495574/enteral-feeding-formulas-market-comprehensive-analysis-by-2025-with-abbott-danone-nestl-cr-bard-b-braun-group-fresenius-kabi-hormel-foods-halyard-health-shepherd-center-victus-inc-mead-johnson-nutrition-aveanna-healthcare.html,1547476080
PFE,Novel same-day Type 2 diabetes treatment study launches in US,"A pilot study has been launched at The University of Texas Health Science Center at Houston (UTHealth) to investigate a same-day procedural therapy called The Revita™ System for improving glucose control in Type 2 diabetes patients. This novel treatment, developed by Fractyl Laboratories Inc., involves duodenal mucosal resurfacing (DMR) to correct abnormal hormonal signaling and nutrient absorption without additional medications. The study aims to assess the safety and effectiveness of the device-based intervention, which targets insulin resistance and has the potential to prevent or even reverse disease progression.",https://www.tmc.edu/news/2019/01/novel-same-day-type-2-diabetes-treatment-study-launches-in-us/,1547685085
PFE,"RK Pharma leases part of Pfizer’s Pearl River, New York, campus for manufacturing","RK Pharma has leased 83,000 square feet at the former Pfizer complex in Pearl River, New York, to establish a manufacturing facility for APIs and other products. This move allows the company to accelerate its production timeline by utilizing an existing site, with an expected investment of $17.5 million and the creation of 100 jobs. The facility was previously part of a campus owned by Wyeth and later Pfizer, which downsized operations there in recent years.",https://www.fiercepharma.com/manufacturing/rk-pharma-leases-part-pfizer-s-pearl-river-new-york-campus-for-manufacturing,1547805300
PFE,"GSK completes acquisition of TESARO, an oncology focused biopharmaceutical company","GSK announced the successful completion of its acquisition of TESARO, Inc., an oncology-focused biopharmaceutical company, for approximately $5.1 billion. This acquisition significantly strengthens GSK’s oncology pipeline and commercial capabilities, particularly with TESARO's key product Zejula (niraparib), an oral PARP inhibitor used in ovarian cancer treatment. The transaction includes ongoing clinical trials for Zejula in a broader range of cancer types and patient populations.",https://www.gsk.com/en-gb/media/press-releases/gsk-completes-acquisition-of-tesaro-an-oncology-focused-biopharmaceutical-company/,1548117080
PFE,Pfizer Pivots to Cancer Drugs for Growth,"Pfizer, once known for heart and primary-care medicines, has significantly shifted its focus to oncology. The company now sells 17 cancer treatments and expects oncology products to be its top-selling category in 2019, generating $8.3 billion in sales. This pivot highlights a broader industry trend towards the lucrative cancer drug market.",https://www.wsj.com/articles/pfizer-pivots-to-cancer-drugs-for-growth-11548601200?gaa_at=eafs&gaa_n=AWEtsqd4ZnhKng0DlIb0kS_2p2Ev9zPPdpnsPPVL0W2Nrg85C2meLLHZG6FZ&gaa_ts=6908033e&gaa_sig=XNEqxQ-9TaC1y-3u2pzAK5Ev63mIku671njSuF59jd1qOGwQXs7Ogrryh2GiijLLJgGhwCV3V7isK2Xy-vpm2Q%3D%3D,1548551190
PFE,Investors Eye the Growing Women’s Health Market,"The global women's health market is experiencing significant growth, attracting private equity and venture capital due to evolving demographic trends like an aging population and increased spending power. This surge is leading to new drugs, services, and technologies, particularly within the ""Femtech"" sector. Investors are encouraged to seize opportunities in this rapidly innovating market, which was valued at US$29 billion in 2015 and is projected to continue growing.",https://www.fticonsulting.com/insights/fti-journal/investors-eye-growing-womens-health-market,1548721031
PFE,"Pfizer swings to loss due to restructuring, asset writedowns","Pfizer reported a loss of US$394 million in the fourth quarter due to restructuring charges and asset writedowns, including lay-offs and issues related to a troubled injectable medicines business acquisition. Despite slightly exceeding Q4 profit expectations, its 2019 financial forecast fell short of analyst predictions, causing a drop in share price. The company, under new CEO Albert Bourla, highlighted the approval of four new cancer drugs in late 2018.",https://jamaica-gleaner.com/article/business/20190130/pfizer-swings-loss-due-restructuring-asset-writedowns,1548810392
PFE,"Terre Haute Closing on Pfizer Sale, New Investment and Jobs","Terre Haute is finalizing the sale of a portion of the former Pfizer Inc. property to Germany-based Saturn Petcare Inc., marking a significant economic development for Vigo County. Saturn Petcare plans to invest over $38 million to renovate a 350,000-square-foot facility and create up to 200 jobs, producing wet pet food for cats and dogs starting in June 2020. This deal is part of a string of recent economic wins for Terre Haute, which has seen previous redevelopment efforts for the Pfizer site falter.",https://www.insideindianabusiness.com/articles/terre-haute-closing-on-pfizer-sale-new-investment-and-jobs,1549406460
PFE,"Efficacy of the pharmacologic chaperone migalastat in a subset of male patients with the classic phenotype of Fabry disease and migalastat-amenable variants: data from the phase 3 randomized, multicenter, double-blind clinical trial and extension study","This study evaluated the efficacy of the pharmacologic chaperone migalastat in male patients with the classic phenotype of Fabry disease and migalastat-amenable variants. Data from a Phase 3 study and its extension showed that migalastat provided clinical benefits, including stabilized renal function, reduced cardiac mass, and improved gastrointestinal symptoms. These findings support the use of migalastat for Fabry disease patients with amenable GLA variants, irrespective of disease severity.",https://www.nature.com/articles/s41436-019-0451-z,1549412511
PFE,Back to the Future: Pre-CRISPR Systems Are Driving Therapies to the Clinic,"This article discusses how older genome editing technologies like TALENs and ZFNs are currently leading the race in clinical trials for therapies, despite the widespread hype surrounding CRISPR-Cas9. Companies like Cellectis and Sangamo Therapeutics are using these pre-CRISPR systems, emphasizing their perceived accuracy, precision, and safety. The article highlights key milestones and ongoing trials, while acknowledging the uncertain long-term fate of these older platforms as CRISPR therapies begin to enter clinical development.",https://www.genengnews.com/topics/genome-editing/back-to-the-future-pre-crispr-systems-are-driving-therapies-to-the-clinic/,1549497713
PFE,A Leading Man’s Next Act,"Dr. Xiaobin Wu, an accomplished leader with 17 years in China operations for big pharmas like Pfizer and Bayer, has transitioned to biotech as GM of China and president of BeiGene. He believes this move will allow him to build his most lasting legacy by transforming the biopharma industry with affordable and accessible medicines. Wu brings extensive experience in leadership, market development, and team building to BeiGene, which is poised for significant product launches in 2019.",https://www.pharmexec.com/view/leading-man-s-next-act,1549587710
PFE,Pfizer Japan recalls high blood pressure drug over cancer-causing impurity,"Pfizer Japan is recalling over 763,000 tablets of its high blood pressure drug Amvalo due to the presence of a probable cancer-causing impurity, valsartan, in its active ingredient. The drug was manufactured in India by Mylan Laboratories Limited, and while no health damage has been reported, Pfizer Japan has pledged to prevent recurrence. This follows similar recalls by Mylan NV and Chinese manufacturer Zhejiang Huahai Pharmaceuticals, prompting the Japanese Health Ministry to check other valsartan-containing drugs.",https://www.reuters.com/article/business/healthcare-pharmaceuticals/pfizer-japan-recalls-high-blood-pressure-drug-over-cancer-causing-impurity-idUSKCN1PX19Q/,1549681020
PFE,Pfizer Japan recalls high blood pressure drug made by India's Mylan over cancer-causing impurity,"Pfizer Japan is recalling over 763,000 tablets of its high blood pressure drug Amvalo, manufactured by Mylan Laboratories Limited in India, due to the presence of a probable cancer-causing impurity in its active ingredient, valsartan. The recall follows similar actions by Mylan NV in the US and Chinese pharmaceutical manufacturer Zhejiang Huahai Pharmaceuticals for valsartan-containing drugs. Pfizer Japan stated there have been no reports of health damage and committed to improved quality control.",https://www.cnbctv18.com/healthcare/pfizer-japan-recalls-high-blood-pressure-drug-made-by-indias-mylan-over-cancer-causing-impurity-2246621.htm,1549750058
PFE,Lilly to Begin Exchange Offer for Sale of Balance Elanco Stake,"Eli Lilly & Company announced an exchange offer where shareholders can swap their Lilly shares for Elanco common stock at a 7% discount, aiming to divest its remaining 80.2% ownership interest in Elanco Animal Health. This move follows Elanco's 2018 IPO, and the exchange is expected to be tax-free for Lilly shareholders. The divestiture is part of Lilly's strategy to explore alternatives for the animal health business, similar to Pfizer's earlier spin-off of Zoetis.",https://finance.yahoo.com/news/lilly-begin-exchange-offer-sale-143102398.html,1549844173
PFE,"Immunohistochemical detection of PD-L1 among diverse human neoplasms in a reference laboratory: observations based upon 62,896 cases","This study examines the results of PD-L1 testing across 62,896 pathology cases using various FDA-approved methods, revealing broad ranges of expression among different tumor types. It highlights practical challenges in PD-L1 stain interpretation and discusses variations in expression patterns related to tumor differentiation and metastatic status. The research also compares its findings with previous Keynote and Checkmate studies, noting both consistencies and significant differences in PD-L1 expression.",https://www.nature.com/articles/s41379-019-0210-3,1550019390
PFE,Global Blood Cancer Drugs Market worth $55.6 billion by 2025:,"The global blood cancer drugs market is projected to reach $55.6 billion by 2025, driven by increasing death incidences from blood cancer and continuous innovation in treatment development. Key market drivers include ongoing clinical trials and rising research in biological and targeted therapies, despite challenges from high drug prices and stringent government policies. North America is expected to dominate the market, while Asia-Pacific shows high growth potential due to increasing awareness and healthcare expenditure.",https://www.openpr.com/news/1592149/global-blood-cancer-drugs-market-worth-55-6-billion-by-2025-major-key-players-johnson-johnson-inc-amgen-inc-bayer-ag-pfizer-inc-eli-lily-co-astrazeneca-abbvie-inc-and-other.html,1550234400
PFE,Pfizer and Lilly Announce Top-line Results From Phase 3 Study of Tanezumab in Chronic Low Back Pain,"Pfizer Inc. and Eli Lilly and Company announced positive top-line results from a Phase 3 study evaluating tanezumab for moderate-to-severe chronic low back pain. The study demonstrated statistically significant improvement in pain with tanezumab 10 mg compared to placebo at 16 weeks. Tanezumab is an investigational non-opioid pain medication, and these results are expected to support future global regulatory submissions.",https://www.prnewswire.com/news-releases/pfizer-and-lilly-announce-top-line-results-from-phase-3-study-of-tanezumab-in-chronic-low-back-pain-300797490.html,1550558700
PFE,Pfizer-Lilly drug shown to help reduce back pain in late-stage trial,"A late-stage study showed that a non-opioid painkiller, tanezumab, developed by Pfizer Inc and Eli Lilly and Co, successfully reduced chronic low back pain when administered in a stronger dose. However, a lower dose of the drug proved ineffective compared to a placebo. This drug targets nerve growth factor and is being developed as U.S. health regulators encourage alternatives to opioids for pain management.",https://www.reuters.com/article/business/healthcare-pharmaceuticals/pfizer-lilly-drug-shown-to-help-reduce-back-pain-in-late-stage-trial-idUSKCN1Q81CS/,1550579040
PFE,This company is the first to bring Nobel-prize-winning RNAi treatments to consumers,"Alnylam Pharmaceuticals has become the first company to bring a Nobel-prize-winning RNA interference (RNAi) treatment to market with FDA approval for Onpattro, a drug treating hereditary amyloidosis. The company has several other RNAi-based drugs in advanced trials for conditions like high cholesterol and hemophilia, and has shown potential in treating neurodegenerative diseases. Alnylam also implements an innovative pricing model, refunding the full cost of its drugs if they are not effective, demonstrating its commitment to value based on outcomes.",https://www.fastcompany.com/90299402/alnylam-most-innovative-companies-2019/,1550619995
PFE,Senate panel grills pharma CEO over executive bonuses and sales of AbbVie blockbuster drug Humira,"A Senate panel questioned AbbVie CEO Richard Gonzalez regarding executive bonuses tied to the blockbuster drug Humira's sales. Senator Ron Wyden expressed concern that linking sales to bonuses could disincentivize lowering drug prices. Gonzalez's 2017 compensation, which included a $4.3 million cash bonus, was significantly influenced by Humira's $18.3 billion sales, leading to accusations of aggressive patent protection to maintain exclusivity.",https://www.cnbc.com/2019/02/26/senate-panel-grills-abbvie-ceo-over-bonuses-tied-to-sales-of-humira.html,1551247200
PFE,Drug company CEOs admit prescription prices are too high. But will they change?,"Seven pharmaceutical CEOs testified before the Senate Finance Committee regarding high U.S. drug prices. While acknowledging the issue and signaling a willingness to change, they largely blamed drug rebate programs and third-party administrators. Experts and lawmakers question whether these statements will lead to substantive policy changes to lower costs for Americans.",https://www.pbs.org/newshour/health/drug-company-ceos-admit-prescription-prices-are-too-high-but-will-they-change,1551258300
PFE,How Much Difference Will Eli Lilly’s Half-Price Insulin Make?,"Eli Lilly announced a half-price, generic version of its insulin Humalog, called ""insulin lispro,"" to address skyrocketing insulin prices. While this move offers a more affordable option for patients, critics argue it's a public relations tactic as it's an ""authorized generic"" lacking true market competition. The effectiveness of this move in significantly lowering overall insulin costs for all patients remains a subject of debate among healthcare experts and patient advocates.",https://kffhealthnews.org/news/how-much-difference-will-eli-lillys-half-price-insulin-make/,1552351592
PFE,Bringing the power of multidisciplinary research to neurodegeneration,"MSD is establishing a new Discovery Centre in London, its first in Europe, to focus on neurodegenerative medicine. Led by Fiona Marshall, VP Head of Neuroscience Discovery, the center aims to recruit 150 scientists to apply a multidisciplinary approach to drug discovery. The center will collaborate with UK academic and industry research institutions and leverage emerging science in molecular biology and genetics to tackle diseases of aging.",https://www.nature.com/articles/d42473-019-00014-w,1552351947
